Heap Info: length: 2228184 flags: 5
HHeap Stats: nUsedNodes:10006 nFreeNodes:-1531 nCalls:(M:11355173 R:1485618 F:11345167) nBytes:-2407776
Timing:(M:14273776 R:1312643 F:369350)
ptr  len  isfree
0x0xc0bb98 32 0
0x0xc0bbb8 72 0
0x0xc0bc00 56 0
0x0xc0bc38 40 0
0x0xc0bc60 24 0
0x0xc0bc78 40 0
0x0xc0bca0 40 0
0x0xc0bcc8 16 0
0x0xc0bcd8 56 0
0x0xc0bd10 40 0
0x0xc0bd38 24 0
0x0xc0bd50 48 0
0x0xc0bd80 24 0
0x0xc0bd98 56 0
0x0xc0bdd0 40 0
0x0xc0bdf8 48 0
0x0xc0be28 24 0
0x0xc0be40 48 0
0x0xc0be70 48 0
0x0xc0bea0 56 0
0x0xc0bed8 24 0
0x0xc0bef0 48 0
0x0xc0bf20 24 0
0x0xc0bf38 24 0
0x0xc0bf50 16 0
0x0xc0bf60 24 0
0x0xc0bf78 56 0
0x0xc0bfb0 24 0
0x0xc0bfc8 48 0
0x0xc0bff8 24 0
0x0xc0c010 48 0
0x0xc0c040 24 0
0x0xc0c058 24 0
0x0xc0c070 24 0
0x0xc0c088 48 0
0x0xc0c0b8 24 0
0x0xc0c0d0 48 0
0x0xc0c100 48 0
0x0xc0c130 48 0
0x0xc0c160 24 0
0x0xc0c178 16 0
0x0xc0c188 48 0
0x0xc0c1b8 24 0
0x0xc0c1d0 48 0
0x0xc0c200 24 0
0x0xc0c218 48 0
0x0xc0c248 24 0
0x0xc0c260 48 0
0x0xc0c290 24 0
0x0xc0c2a8 24 0
0x0xc0c2c0 48 0
0x0xc0c2f0 48 0
0x0xc0c320 24 0
0x0xc0c338 48 0
0x0xc0c368 24 0
0x0xc0c380 48 0
0x0xc0c3b0 24 0
0x0xc0c3c8 48 0
0x0xc0c3f8 24 0
0x0xc0c410 48 0
0x0xc0c440 24 0
0x0xc0c458 48 0
0x0xc0c488 24 0
0x0xc0c4a0 48 0
0x0xc0c4d0 24 0
0x0xc0c4e8 56 0
0x0xc0c520 24 0
0x0xc0c538 56 0
0x0xc0c570 24 0
0x0xc0c588 48 0
0x0xc0c5b8 24 0
0x0xc0c5d0 48 0
0x0xc0c600 24 0
0x0xc0c618 48 0
0x0xc0c648 24 0
0x0xc0c660 48 0
0x0xc0c690 24 0
0x0xc0c6a8 48 0
0x0xc0c6d8 24 0
0x0xc0c6f0 48 0
0x0xc0c720 16 0
0x0xc0c730 48 0
0x0xc0c760 48 0
0x0xc0c790 24 0
0x0xc0c7a8 48 0
0x0xc0c7d8 24 0
0x0xc0c7f0 48 0
0x0xc0c820 24 0
0x0xc0c838 48 0
0x0xc0c868 24 0
0x0xc0c880 48 0
0x0xc0c8b0 24 0
0x0xc0c8c8 48 0
0x0xc0c8f8 24 0
0x0xc0c910 48 0
0x0xc0c940 24 0
0x0xc0c958 48 0
0x0xc0c988 24 0
0x0xc0c9a0 48 0
0x0xc0c9d0 24 0
0x0xc0c9e8 48 0
0x0xc0ca18 24 0
0x0xc0ca30 48 0
0x0xc0ca60 24 0
0x0xc0ca78 48 0
0x0xc0caa8 24 0
0x0xc0cac0 48 0
0x0xc0caf0 24 0
0x0xc0cb08 48 0
0x0xc0cb38 24 0
0x0xc0cb50 48 0
0x0xc0cb80 24 0
0x0xc0cb98 48 0
0x0xc0cbc8 24 0
0x0xc0cbe0 48 0
0x0xc0cc10 168 0
0x0xc0ccb8 48 0
0x0xc0cce8 48 0
0x0xc0cd18 56 0
0x0xc0cd50 24 0
0x0xc0cd68 48 0
0x0xc0cd98 40 0
0x0xc0cdc0 24 0
0x0xc0cdd8 24 0
0x0xc0cdf0 24 0
0x0xc0ce08 48 0
0x0xc0ce38 24 0
0x0xc0ce50 48 0
0x0xc0ce80 24 0
0x0xc0ce98 48 0
0x0xc0cec8 24 0
0x0xc0cee0 64 0
0x0xc0cf20 24 0
0x0xc0cf38 24 0
0x0xc0cf50 64 0
0x0xc0cf90 56 0
0x0xc0cfc8 64 0
0x0xc0d008 24 0
0x0xc0d020 16 0
0x0xc0d030 24 0
0x0xc0d048 48 0
0x0xc0d078 24 0
0x0xc0d090 48 0
0x0xc0d0c0 24 0
0x0xc0d0d8 48 0
0x0xc0d108 24 0
0x0xc0d120 48 0
0x0xc0d150 24 0
0x0xc0d168 48 0
0x0xc0d198 24 0
0x0xc0d1b0 48 0
0x0xc0d1e0 24 0
0x0xc0d1f8 56 0
0x0xc0d230 24 0
0x0xc0d248 48 0
0x0xc0d278 48 0
0x0xc0d2a8 48 0
0x0xc0d2d8 48 0
0x0xc0d308 48 0
0x0xc0d338 48 0
0x0xc0d368 48 0
0x0xc0d398 48 0
0x0xc0d3c8 56 0
0x0xc0d400 48 0
0x0xc0d430 48 0
0x0xc0d460 48 0
0x0xc0d490 64 0
0x0xc0d4d0 24 0
0x0xc0d4e8 48 0
0x0xc0d518 48 0
0x0xc0d548 56 0
0x0xc0d580 48 0
0x0xc0d5b0 56 0
0x0xc0d5e8 48 0
0x0xc0d618 48 0
0x0xc0d648 96 0
0x0xc0d6a8 48 0
0x0xc0d6d8 56 0
0x0xc0d710 40 0
0x0xc0d738 40 0
0x0xc0d760 56 0
0x0xc0d798 16 1
0x0xc0d7a8 24 0
0x0xc0d7c0 16 1
0x0xc0d7d0 56 0
0x0xc0d808 48 0
0x0xc0d838 48 0
0x0xc0d868 48 0
0x0xc0d898 24 0
0x0xc0d8b0 56 0
0x0xc0d8e8 40 0
0x0xc0d910 32 0
0x0xc0d930 40 0
0x0xc0d958 56 0
0x0xc0d990 40 0
0x0xc0d9b8 56 0
0x0xc0d9f0 56 0
0x0xc0da28 40 0
0x0xc0da50 216 0
0x0xc0db28 72 0
0x0xc0db70 56 0
0x0xc0dba8 56 0
0x0xc0dbe0 24 0
0x0xc0dbf8 40 0
0x0xc0dc20 56 0
0x0xc0dc58 40 0
0x0xc0dc80 56 0
0x0xc0dcb8 72 0
0x0xc0dd00 56 0
0x0xc0dd38 56 0
0x0xc0dd70 24 0
0x0xc0dd88 40 0
0x0xc0ddb0 56 0
0x0xc0dde8 40 0
0x0xc0de10 32 0
0x0xc0de30 24 0
0x0xc0de48 48 0
0x0xc0de78 72 0
0x0xc0dec0 24 0
0x0xc0ded8 40 0
0x0xc0df00 24 0
0x0xc0df18 48 0
0x0xc0df48 40 0
0x0xc0df70 24 0
0x0xc0df88 48 0
0x0xc0dfb8 48 0
0x0xc0dfe8 64 0
0x0xc0e028 48 0
0x0xc0e058 24 0
0x0xc0e070 56 0
0x0xc0e0a8 48 0
0x0xc0e0d8 48 0
0x0xc0e108 40 0
0x0xc0e130 64 0
0x0xc0e170 48 0
0x0xc0e1a0 48 0
0x0xc0e1d0 48 0
0x0xc0e200 48 0
0x0xc0e230 16 0
0x0xc0e240 1008 0
0x0xc0e630 40 0
0x0xc0e658 48 0
0x0xc0e688 48 0
0x0xc0e6b8 40 0
0x0xc0e6e0 48 0
0x0xc0e710 40 0
0x0xc0e738 56 0
0x0xc0e770 56 0
0x0xc0e7a8 64 0
0x0xc0e7e8 24 0
0x0xc0e800 48 0
0x0xc0e830 24 0
0x0xc0e848 40 0
0x0xc0e870 56 0
0x0xc0e8a8 48 0
0x0xc0e8d8 56 0
0x0xc0e910 48 0
0x0xc0e940 24 0
0x0xc0e958 32 0
0x0xc0e978 16 0
0x0xc0e988 80 0
0x0xc0e9d8 56 0
0x0xc0ea10 40 0
0x0xc0ea38 2696 0
0x0xc0f4c0 48 0
0x0xc0f4f0 48 0
0x0xc0f520 48 0
0x0xc0f550 48 0
0x0xc0f580 48 0
0x0xc0f5b0 56 0
0x0xc0f5e8 56 0
0x0xc0f620 56 0
0x0xc0f658 88 0
0x0xc0f6b0 48 0
0x0xc0f6e0 56 0
0x0xc0f718 40 0
0x0xc0f740 48 0
0x0xc0f770 56 0
0x0xc0f7a8 280 0
0x0xc0f8c0 56 0
0x0xc0f8f8 48 0
0x0xc0f928 48 0
0x0xc0f958 1032 0
0x0xc0fd60 48 0
0x0xc0fd90 48 0
0x0xc0fdc0 24 0
0x0xc0fdd8 40 0
0x0xc0fe00 1032 0
0x0xc10208 24 0
0x0xc10220 48 0
0x0xc10250 40 0
0x0xc10278 72 1
0x0xc102c0 48 0
0x0xc102f0 56 0
0x0xc10328 40 0
0x0xc10350 48 0
0x0xc10380 32 0
0x0xc103a0 16 1
0x0xc103b0 48 0
0x0xc103e0 48 1
0x0xc10410 32 0
0x0xc10430 120 1
0x0xc104a8 32 0
0x0xc104c8 40 0
0x0xc104f0 48 0
0x0xc10520 32 1
0x0xc10540 32 0
0x0xc10560 896 1
0x0xc108e0 560 0
0x0xc10b10 16 0
0x0xc10b20 560 0
0x0xc10d50 24 0
0x0xc10d68 1032 0
0x0xc11170 2120 0
0x0xc119b8 56 0
0x0xc119f0 56 0
0x0xc11a28 56 0
0x0xc11a60 32 0
0x0xc11a80 56 0
0x0xc11ab8 24 0
0x0xc11ad0 32 0
0x0xc11af0 48 0
0x0xc11b20 136 0
0x0xc11ba8 48 0
0x0xc11bd8 56 0
0x0xc11c10 24 0
0x0xc11c28 16 0
0x0xc11c38 40 0
0x0xc11c60 88 0
0x0xc11cb8 72 0
0x0xc11d00 56 0
0x0xc11d38 56 0
0x0xc11d70 24 0
0x0xc11d88 40 0
0x0xc11db0 56 0
0x0xc11de8 32 0
0x0xc11e08 40 0
0x0xc11e30 64 0
0x0xc11e70 72 0
0x0xc11eb8 72 0
0x0xc11f00 56 0
0x0xc11f38 56 0
0x0xc11f70 40 0
0x0xc11f98 56 0
0x0xc11fd0 40 0
0x0xc11ff8 80 0
0x0xc12048 72 0
0x0xc12090 56 0
0x0xc120c8 56 0
0x0xc12100 24 0
0x0xc12118 40 0
0x0xc12140 24 0
0x0xc12158 32 0
0x0xc12178 56 0
0x0xc121b0 24 0
0x0xc121c8 16 0
0x0xc121d8 40 0
0x0xc12200 72 0
0x0xc12248 72 0
0x0xc12290 56 0
0x0xc122c8 64 0
0x0xc12308 40 0
0x0xc12330 64 0
0x0xc12370 32 0
0x0xc12390 40 0
0x0xc123b8 72 0
0x0xc12400 72 0
0x0xc12448 24 0
0x0xc12460 24 0
0x0xc12478 96 0
0x0xc124d8 72 0
0x0xc12520 56 0
0x0xc12558 40 0
0x0xc12580 56 0
0x0xc125b8 40 0
0x0xc125e0 40 0
0x0xc12608 80 0
0x0xc12658 56 0
0x0xc12690 16 0
0x0xc126a0 56 0
0x0xc126d8 56 0
0x0xc12710 40 0
0x0xc12738 24 0
0x0xc12750 32 0
0x0xc12770 24 0
0x0xc12788 32 0
0x0xc127a8 136 0
0x0xc12830 40 0
0x0xc12858 64 0
0x0xc12898 72 0
0x0xc128e0 56 0
0x0xc12918 48 0
0x0xc12948 24 0
0x0xc12960 40 0
0x0xc12988 48 0
0x0xc129b8 40 0
0x0xc129e0 64 0
0x0xc12a20 72 0
0x0xc12a68 56 0
0x0xc12aa0 48 0
0x0xc12ad0 24 0
0x0xc12ae8 40 0
0x0xc12b10 48 0
0x0xc12b40 40 0
0x0xc12b68 64 0
0x0xc12ba8 72 0
0x0xc12bf0 56 0
0x0xc12c28 48 0
0x0xc12c58 24 0
0x0xc12c70 40 0
0x0xc12c98 48 0
0x0xc12cc8 32 0
0x0xc12ce8 40 0
0x0xc12d10 64 0
0x0xc12d50 72 0
0x0xc12d98 56 0
0x0xc12dd0 48 0
0x0xc12e00 24 0
0x0xc12e18 40 0
0x0xc12e40 48 0
0x0xc12e70 24 0
0x0xc12e88 16 0
0x0xc12e98 40 0
0x0xc12ec0 16 0
0x0xc12ed0 56 0
0x0xc12f08 56 0
0x0xc12f40 56 0
0x0xc12f78 40 0
0x0xc12fa0 40 0
0x0xc12fc8 88 0
0x0xc13020 72 0
0x0xc13068 56 0
0x0xc130a0 64 0
0x0xc130e0 40 0
0x0xc13108 64 0
0x0xc13148 40 0
0x0xc13170 64 0
0x0xc131b0 72 0
0x0xc131f8 56 0
0x0xc13230 56 0
0x0xc13268 40 0
0x0xc13290 56 0
0x0xc132c8 40 0
0x0xc132f0 88 0
0x0xc13348 72 0
0x0xc13390 56 0
0x0xc133c8 64 0
0x0xc13408 24 0
0x0xc13420 40 0
0x0xc13448 64 0
0x0xc13488 40 0
0x0xc134b0 64 0
0x0xc134f0 72 0
0x0xc13538 56 0
0x0xc13570 56 0
0x0xc135a8 24 0
0x0xc135c0 40 0
0x0xc135e8 56 0
0x0xc13620 40 0
0x0xc13648 56 0
0x0xc13680 48 0
0x0xc136b0 24 0
0x0xc136c8 56 0
0x0xc13700 56 0
0x0xc13738 24 0
0x0xc13750 40 0
0x0xc13778 24 0
0x0xc13790 32 0
0x0xc137b0 24 0
0x0xc137c8 32 0
