token,value,,character limit, comment
app_connection_assigned,Farbe zugewiesen,,25,
app_connection_assigning,Farbe wird zugewiesen ...,,25,
app_connection_connected,Verbunden,,25,
app_connection_disconnected,Verbindung getrennt,,25,
app_connection_disconnect_pending,Warten auf Trennung,,25,
app_connection_error_busy,Aktives Spiel,,25,
app_connection_searching,Suche läuft ...,,25,
app_disconnect_bonjour_failed,Verbindung fehlgeschlagen,,25,
app_disconnect_busy,Aktives Spiel,,25,
app_disconnect_host_timeout,Verbindung abgebrochen,,25,
app_disconnect_user_disconnect,Benutzer getrennt,,25,
app_general_connect,Verbinden,,25,
beatsports_legal_text,"©2017 Harmonix Games LLC. Alle Rechte vorbehalten. Super Beat Sports entwickelt von Harmonix Music Systems, Inc. Beat Sports ist ein Warenzeichen von Harmonix Games LLC. Alle anderen Marken sind Eigentum der jeweiligen Eigentümer. Dieses Produkt ist durch folgende Patente geschützt: www.harmonixmusic.com/patents.",,130,
bonus,Bonus,,14,
bonus_balls,Bonusbälle,,14,
bonus_round,Bonusrunde,,14,
date_format,%d. %M %Y,,11,
demo_intro_splash,This version of Beat Sports has been created specifically for demonstration purposes.,,150,
demo_locked_level,Only "Home" levels are playable in this demo.  Purchase Beat Sports to play all the levels and features.,,150,
demo_not_enabled,Feature not enabled for this demo.,,150,
dialogue_dl_error,Fehler beim Herunterladen zusätzlicher Spielinhalte. Bitte später erneut versuchen.,,150,
dialogue_dl_wait,"Bitte warten, bis zusätzliche Spielinhalte heruntergeladen wurden.",,150,
feedback_perfect,PERFEKT,,20,
gear_bat_baseball_bat_special,Platinschläger,,21,a platinum baseball bat
gear_bat_bow,Liebesregen,,21,a cupid's bow
gear_bat_bronze,Bronzedrescher,,21,a bronze baseball bat
gear_bat_chicken_drumstick,Schlegel,,21,a drum stick
gear_bat_clarinet,Erans Favorit,,21,a clarinet
gear_bat_curling,Eiskratzer,,21,a curling (sport) stick
gear_bat_default,Schläger,,21,a bat
gear_bat_electric_guitar,Die E-Gitarre,,21,a guitar
gear_bat_fish,Fischstäbchen,,21,a bass fish pun on bass guitar
gear_bat_flowers,Flower Ka-Power,,21,a bouquet of flowers
gear_bat_gold,Massivgold,,21,a gold bat
gear_bat_golf_club,Einlocher,,21,a golf club 
gear_bat_hand_on_stick,Klatscher,,21,a giant hand on a stick
gear_bat_harp,Herzharfe,,21,a Cupid's harp
gear_bat_hockey_stick,Maulschelle,,21,a hockey stick
gear_bat_ice,Winter-Remix,,21,a bat made of ice
gear_bat_lips,Lippenstift,,21,lips on a stick
gear_bat_lollipop,Riesenlutscher,,21,a lollipop
gear_bat_shovel,Schaufelmacht,,21,a shovel
gear_bat_skipole,Abgedrehter Schläger,,21,a diamond bat
gear_bat_sleigh,Der Bimmler,,21,a stick of jingle bells
gear_bat_snow_shov,Pflüger,,21,a snow shovel (snow plow pun)
gear_bat_sword,Tiefer Schnitt,,21,a sword
gear_bat_tennis_racket,Was-ein-Schläger,,21,a tennis racket
gear_bat_umbrella,Duschhaube,,21,an umbrella
gear_bat_energy,Zappelphilipp,,21,a lazer racket like a bug zapper
gear_bat_baguette,Mögen wir,,21,a baguette
gear_bat_horsey,Hü-Hott,,21,a hobby horse
gear_bat_gnome,Frank,,21,generic man's name
gear_bat_axe,Die andere Axt,,21,an actual axe
gear_bat_broom,Ausputzer,,21,a broom
gear_bat_lax,Netzschläger,,21,a lacrosse stick
gear_bat_stick,Der Pedant,,21,a stick for stick ball
gear_bat_cricket,Tschilp,,21,a cricket mallet
gear_bat_mallet,Hochton-Stürmer,,21,a mallet for whacking things
gear_bat_mime,Mime-Schläger,,21,an invisible mime bat
gear_outfit_baseball,Crackerjack,,21,a vintage baseball outfit
gear_outfit_cupid,Amor,,21,a cupid's outfit
gear_outfit_default,Klassisch,,21,a generic workout outfit
gear_outfit_football,Liebestaumel,,21,a football outfit
gear_outfit_golf,Golfklub,,21,a golfer outfit
gear_outfit_nibbs,Großmaul,,21,an alien jumpsuit
gear_outfit_nubz,Nubz Dudz,,21,a different alien jumpsuit
gear_outfit_rain,Wenn's regnet,,21,a rain or snowsuit
gear_outfit_soccer,50 Meter,,21,a soccer outfit
gear_outfit_space,Weltraumkadett,,21,an astronaut suit
gear_outfit_squibbs,Squibz Stil,,21,yet another alien outfit
gear_outfit_volleyball,Ass,,21,a volleyball outfit
gear_outfit_chicken,Herden-Star,,21,a chicken outfit
gear_outfit_jockey,Guter Reiter,,21,a jockey outfit
gear_outfit_lucha,Mucho Macho,,21,a luchador outfit
gear_outfit_robo,Zukunftsmusik,,21,a robot outfit
gear_outfit_hockey,Ganzkörperschutz,,21,a hockey outfit
gear_outfit_dropmix,DROPMIX,,21,"A Harmonix IP, do not transalte"
gear_outfit_knight,Alles Ritter,,21,a knight outfit
gear_outfit_mime,Mime über alles,,21,a mime outfit
gear_skin,Hautfarbe,,15,
golf_results_title_win,Toller Schlag!,,34,
golf_ui_go,LOS!,,20,
golf_ui_lastchance,LETZTE CHANCE!,,20,
golf_ui_listen,Anhören ... ,,20,
golf_ui_outofballs,Keine Bälle mehr ... ,,20,
