token,value,do not translate,character limit, comment
app_connection_assigned,Color Assigned,,25,
app_connection_assigning,Assigning Color...,,25,
app_connection_connected,Connected,,25,
app_connection_disconnected,Disconnected,,25,
app_connection_disconnect_pending,Disconnect Pending,,25,
app_connection_error_busy,Game In Progress,,25,
app_connection_searching,Searching...,,25,
app_disconnect_bonjour_failed,Connection Failed,,25,
app_disconnect_busy,Game In Progress,,25,
app_disconnect_host_timeout,Connection Lost,,25,
app_disconnect_user_disconnect,User Disconnected,,25,
app_general_connect,Connect,,25,
beatsports_legal_text,©2017 Harmonix Games LLC. Beat Sports is a trademark of Harmonix Games LLC. All other marks are the property of their respective owners. This product is covered by Patents identified at www.harmonixmusic.com/patents.,,130,We have updated legal text we may need to slug in here…
bonus,Bonus,,14,
bonus_balls,Bonus Balls,,14,
bonus_round,Bonus Round,,14,
controls_swing,Swing,,,
controls_t_move,Change Lanes,,,
controls_t_left,Move Left,,,
controls_t_right,Move Right,,,
controls_t_bottom,Move to Bottom of Stack,,,
controls_t_doublelane,Change 2 Lanes,,,
controls_g_aim,Select Island,,,
controls_g_left,Select Left Island,,,
controls_g_right,Select Right Island,,,
controls_rr_pos,Position & Aim,,,
controls_rr_kickup,Set the Ball,,,
date_format,"%M %d, %Y",,11,
demo_intro_splash,This version of Beat Sports has been created specifically for demonstration purposes.,,150,
demo_locked_level,Only "Home" levels are playable in this demo.  Purchase Beat Sports to play all the levels and features.,,150,
demo_not_enabled,Feature not enabled for this demo.,,150,
dialogue_dl_error,There was an error downloading additional game content.  Please try again later.,,150,
dialogue_dl_wait,Please wait as we download additional game content.,,150,
feedback_perfect,PERFECT,,20,
gear_bat_baseball_bat_special,Gone Platinum,,21,
gear_bat_baseball_bat_special_spcl,Gone Platinum - SPECIAL ITEM,,,
gear_bat_baseball_bat_special_desc,You got a platinum medal in every level!,,,
gear_bat_bow,Love-All,,21,
gear_bat_bronze,Bronze Bammer,,21,
gear_bat_bronze_spcl,Bronze Bammer - SPECIAL ITEM,,,
gear_bat_bronze_desc,You got a bronze (or better) medal in every level!,,,
gear_bat_chicken_drumstick,Drum Stick,,21,
gear_bat_clarinet,Eran's Favorite,,21,
gear_bat_curling,Rock the House,,21,
gear_bat_default,Bat,,21,
gear_bat_electric_guitar,The Axe,,21,
gear_bat_fish,Slap Bass,,21,
gear_bat_flowers,Flower Ka-Power,,21,
gear_bat_flowers_spcl,Flower Ka-Power - SPECIAL ITEM,,,
gear_bat_flowers_desc,You completed a level in Local Wireless Play!,,,
gear_bat_gold,Solid Gold,,21,
gear_bat_gold_spcl,Solid Gold - SPECIAL ITEM,,,
gear_bat_gold_desc,You got a gold (or better) medal in every level!,,,
gear_bat_golf_club,Inda Club,,21,
gear_bat_hand_on_stick,Clap Stick,,21,
gear_bat_harp,Heart Strings,,21,
gear_bat_hockey_stick,Slap Stick,,21,
gear_bat_ice,Winter Remix,,21,
gear_bat_lips,First Base,,21,
gear_bat_lollipop,Fly Pop,,21,
gear_bat_shovel,Shovel Might,,21,
gear_bat_skipole,Whack Diamond,,21,
gear_bat_sleigh,The Jingler,,21,
gear_bat_snow_shov,Ka-PLOW!!,,21,
gear_bat_sword,Deep Cut,,21,
gear_bat_tennis_racket,What-a-Racket,,21,
gear_bat_umbrella,Hit the Showers,,21,
gear_bat_energy,Whapper Zapper,,21,
gear_bat_energy_spc,Whapper Zapper - SPECIAL ITEM,,,
gear_bat_energy_desc,You got a platinum medal in Net Ball!,,,
gear_bat_baguette,May We,,21,
gear_bat_horsey,Yay or Neigh,,21,
gear_bat_gnome,Frank,,21,
gear_bat_gnome_spcl,Frank - SPECIAL ITEM,,,
gear_bat_gnome_desc,You got a gold (or better) medal in Pro Mode!,,,
gear_bat_axe,The Other Axe,,21,
gear_bat_broom,Sweeper Hit,,21,
gear_bat_lax,Net Bat,,21,
gear_bat_stick,The Stickler,,21,
gear_bat_cricket,Chirps,,21,
gear_bat_cricket_spcl,Chirps - SPECIAL ITEM,,,
gear_bat_cricket_desc,You got a platinum medal in Whacky Bat!,,,
gear_bat_mallet,High Note Striker,,21,
gear_bat_mallet_spcl,High Note Striker - SPECIAL ITEM,,,
gear_bat_mallet_desc,You got a platinum medal in Gobble Golf!,,,
gear_bat_mime,Mime Bat,,21,
gear_bat_mime_spcl,Mime Bat - SPECIAL ITEM,,,
gear_bat_mime_desc,You beat all Standard Whacky Bat levels!,,,
gear_bat_chair,Conchairto,,,
gear_outfit_baseball,Crackerjack,,21,
gear_outfit_cupid,Cupid,,21,
gear_outfit_default,Classic,,21,
gear_outfit_football,Love Rush,,21,
gear_outfit_golf,Country Clubber,,21,
gear_outfit_nibbs,Big Mouth,,21,
gear_outfit_nibbs_spcl,Big Mouth - SPECIAL ITEM,,,
gear_outfit_nibbs_desc,You beat all Pro Gobble Golf levels!,,,
gear_outfit_nubz,Nubz Dudz,,21,
gear_outfit_nubz_spcl,Nubz Dudz - SPECIAL ITEM,,,
gear_outfit_nubz_desc,You beat all Pro Whacky Bat levels!,,,
gear_outfit_rain,Fo' Drizzle,,21,
gear_outfit_soccer,Kickin' It,,21,
gear_outfit_space,Space Cadet,,21,
gear_outfit_squibbs,Squibz Style,,21,
gear_outfit_squibbs_spcl,Squibz Style - SPECIAL ITEM,,,
gear_outfit_squibbs_desc,You beat all Pro Net Ball levels!,,,
gear_outfit_volleyball,Ace,,21,
gear_outfit_chicken,Flock Star,,21,
gear_outfit_jockey,Good 'questrian,,21,
gear_outfit_lucha,Mucho Macho,,21,
gear_outfit_robo,Next Gen,,21,
gear_outfit_robo_spcl,Next Gen - SPECIAL ITEM,,,
gear_outfit_robo_desc,You beat all the Robots!,,,
gear_outfit_hockey,Stick 'em Up,,21,
gear_outfit_dropmix,DropMix,,21,
gear_outfit_dropmix_spcl,DropMix - SPECIAL ITEM,,,
gear_outfit_dropmix_desc,You beat all Standard Net Ball levels!,,,
gear_outfit_knight,All-knighter,,21,
gear_outfit_knight_spcl,All-knighter - SPECIAL ITEM,,,
gear_outfit_knight_desc,You beat all Standard Gobble Golf levels!,,,
gear_outfit_mime,Mime Over Matter,,21,
gear_outfit_mime_spcl,Mime Over Matter - SPECIAL ITEM,,,
gear_outfit_mime_desc,You beat all Standard Whacky Bat levels!,,,
gear_skin,Skin,,15,
golf_results_title_win,Great Swinging!,,34,
golf_ui_go,GO!,,20,
golf_ui_lastchance,LAST CHANCE!,,20,
golf_ui_listen,Listen... ,,20,
