token,value,,character limit, comment
app_connection_assigned,Color asignado,,25,
app_connection_assigning,Asignando color...,,25,
app_connection_connected,Conectado,,25,
app_connection_disconnected,Desconectado,,25,
app_connection_disconnect_pending,Desconexión pendiente,,25,
app_connection_error_busy,Partida en curso,,25,
app_connection_searching,Buscando...,,25,
app_disconnect_bonjour_failed,La conexión ha fallado,,25,
app_disconnect_busy,Partida en curso,,25,
app_disconnect_host_timeout,Se ha perdido la conexión,,25,
app_disconnect_user_disconnect,Usuario desconectado,,25,
app_general_connect,Conectar,,25,
beatsports_legal_text,©2017 Harmonix Games LLC. Beat Sports es una marca registrada de Harmonix Games LLC. Las demás marcas son propiedad de sus respectivos propietarios. El producto está cubierto por las patentes identificadas en www.harmonixmusic.com/patents.,,130,
bonus,Bonificación,,14,
bonus_balls,Pelotas extras,,14,
bonus_round,Ronda extra,,14,
date_format,%d de %M de %Y,,11,
demo_intro_splash,This version of Beat Sports has been created specifically for demonstration purposes.,,150,
demo_locked_level,Only "Home" levels are playable in this demo.  Purchase Beat Sports to play all the levels and features.,,150,
demo_not_enabled,Feature not enabled for this demo.,,150,
dialogue_dl_error,Se ha producido un error al descargar contenido de juego adicional. Inténtalo de nuevo más tarde.,,150,
dialogue_dl_wait,Espera mientras se descarga el contenido de juego adicional.,,150,
feedback_perfect,PERFECTO,,20,
gear_bat_baseball_bat_special,Platino brillante,,21,a platinum baseball bat
gear_bat_bow,Flechazo,,21,a cupid's bow
gear_bat_bronze,Bronce reluciente,,21,a bronze baseball bat
gear_bat_chicken_drumstick,Muslo,,21,a drum stick
gear_bat_clarinet,El favorito de Eran,,21,a clarinet
gear_bat_curling,Curling,,21,a curling (sport) stick
gear_bat_default,Bate,,21,a bat
gear_bat_electric_guitar,Guitarra,,21,a guitar
gear_bat_fish,Pescado,,21,a bass fish pun on bass guitar
gear_bat_flowers,Potencia florida,,21,a bouquet of flowers
gear_bat_gold,Oro sólido,,21,a gold bat
gear_bat_golf_club,Palo de golf,,21,a golf club 
gear_bat_hand_on_stick,Palo con mano,,21,a giant hand on a stick
gear_bat_harp,Harpa del amor,,21,a Cupid's harp
gear_bat_hockey_stick,Palo de hockey,,21,a hockey stick
gear_bat_ice,Bate de invierno,,21,a bat made of ice
gear_bat_lips,Primera base,,21,lips on a stick
gear_bat_lollipop,Chupachups,,21,a lollipop
gear_bat_shovel,Pala poderosa,,21,a shovel
gear_bat_skipole,Bate de diamante,,21,a diamond bat
gear_bat_sleigh,El navideño,,21,a stick of jingle bells
gear_bat_snow_shov,Pala quitanieves,,21,a snow shovel (snow plow pun)
gear_bat_sword,Espada,,21,a sword
gear_bat_tennis_racket,Raqueta rítmica,,21,a tennis racket
gear_bat_umbrella,Parachubascos,,21,an umbrella
gear_bat_energy,Calambrazo,,21,a lazer racket like a bug zapper
gear_bat_baguette,Barra de pan,,21,a baguette
gear_bat_horsey,Arréale,,21,a hobby horse
gear_bat_gnome,David,,21,generic man's name
gear_bat_axe,La guitarra afilada,,21,an actual axe
gear_bat_broom,Batescoba,,21,a broom
gear_bat_lax,Bate de red,,21,a lacrosse stick
gear_bat_stick,La estaca,,21,a stick for stick ball
gear_bat_cricket,Cricrí,,21,a cricket mallet
gear_bat_mallet,Mazo soprano,,21,a mallet for whacking things
gear_bat_mime,Bate de mimo,,21,an invisible mime bat
gear_outfit_baseball,Béisbol,,21,a vintage baseball outfit
gear_outfit_cupid,Cupido,,21,a cupid's outfit
gear_outfit_default,Clásico,,21,a generic workout outfit
gear_outfit_football,Chute de amor,,21,a football outfit
gear_outfit_golf,Club de campo,,21,a golfer outfit
gear_outfit_nibbs,Bocazas,,21,an alien jumpsuit
gear_outfit_nubz,Atuendo de Nubz,,21,a different alien jumpsuit
gear_outfit_rain,Llovizna,,21,a rain or snowsuit
gear_outfit_soccer,Equipación,,21,a soccer outfit
gear_outfit_space,Cadete espacial,,21,an astronaut suit
gear_outfit_squibbs,Estilo de Squibz,,21,yet another alien outfit
gear_outfit_volleyball,Voleibol,,21,a volleyball outfit
gear_outfit_chicken,Estrella del corral,,21,a chicken outfit
gear_outfit_jockey,Jinete veloz,,21,a jockey outfit
gear_outfit_lucha,Guerrero,,21,a luchador outfit
gear_outfit_robo,Próxima generación,,21,a robot outfit
gear_outfit_hockey,Palo helado,,21,a hockey outfit
gear_outfit_dropmix,DROPMIX,,21,"A Harmonix IP, do not transalte"
gear_outfit_knight,Caballero,,21,a knight outfit
gear_outfit_mime,Mimo con mimo,,21,a mime outfit
gear_skin,Aspecto,,15,
golf_results_title_win,¡Buen balanceo!,,34,
golf_ui_go,¡ADELANTE!,,20,
golf_ui_lastchance,¡ÚLTIMA OPORTUNIDAD!,,20,
golf_ui_listen,Escucha... ,,20,
golf_ui_outofballs,Sin bolas... ,,20,
golf_ui_timesup,¡TIEMPO AGOTADO!,,20,
results_normal_hits,Normales,,20,
results_charged_hits,En salto,,20,
kabam,¡Ka-BOOM!,,20,
keep_local,Conservar datos locales,,23,
leaderboard_allsports,Todos los deportes,,,
leaderboard_point,punto,,,
leaderboard_points,puntos,,,
legal_preamble,"Comprar, descargar, jugar y/o usar Super Beat Sports constituyen tanto la aceptación como el compromiso de cumplir con lo siguiente:",,,
legal_privacy_policy,Política de privacidad: http://www.superbeatsports.com/superprivacy,,,Do not translate web address
legal_tos,Términos del servicio: http://www.superbeatsports.com/superterms,,,Do not translate web address
loading_321,"Escucha la cuenta atrás "3, 2, 1" para sincronizar tus mates.",,150,
loading_all_1,"CONSEJO: Respira hondo, cree en tu valía y siente el ritmo fluyendo por tu interior.",,150,
loading_all_2,Gana mejores medallas para desbloquear premios más rápido.,,150,
loading_all_3,Pausa el juego para consultar los controles.,,150,
loading_all_4,¿El juego se ralentiza? Comprueba si la televisión tiene un modo o configuración para juegos e inténtalo de nuevo.,,150,
loading_all_5,"Sal ahí fuera ¡y gana en todos esos deportes!"\n— Palabras de ánimo diarias de Wubwub,,150,
loading_all_6,Poder jugar contigo es algo muy importante para Wubwub.,,150,
loading_all_7,""¿Nubz, nubz nubz? ¡Nubz! Nubz nubz nubz" (Nubz).",,150,
loading_all_8,Quienes visiten Musicalia pueden disfrutar de una fantástica cena en el Superb Eats Ports.,,150,
loading_avsync,"Si en algún momento te parece que la imagen y la música no están sincronizadas, ve al menú Opciones, selecciona Sinc. audio/vídeo ¡y a disfrutar!",,150,
loading_clicktohit,Juega con el acelerómetro y disfruta de la mejor experiencia deportiva.,,150,
loading_shadows,Sigue las pelotas altas de Big Baoz observando su sombra sobre el terreno.,,150,
loading_throbot,Échale un vistazo al nivel Práctica para dominar los peliagudos lanzamientos de Thro-bot.,,150,
loading_wiggle,Los nibbzes siempre hacen lo mismo antes de cantar.,,150,
loading_g_chill,"Siéntate, relájate y prepárate para el golf glotón.",,150,
loading_g_diet,Los nibbzes son conocidos como los mayores glotones de la galaxia de Musicalia.,,150,
loading_stacking,"En el modo multijugador, el bateador de arriba en un montón puede pulsar <icon=thumb_down> para saltar abajo.",,150,Do not translate text between < >
loading_v_wubwub,"Si Wubwub golpea la pelota hacia ti, ¡prepárate para un mate!",,150,
loading_v_squibz,"Un día sin balonvolea es un día sin alegría" (Antiguo proverbio squibziano).,,150,
loading_s_wicked,Cambia la dificultad a Perversa si te gustan los desafíos.,,150,
load_failed_message,No se ha podido cargar la ranura de guardado seleccionada.,,150,
meet_slugger,Te presento a Lil. Es una gran bateadora.,,45,"slugger is what we call the human characters you play in the game, adorable little athletes"
month_april,abril,,12,
month_august,agosto,,12,
month_december,diciembre,,12,
month_february,febrero,,12,
month_january,enero,,12,
month_july,julio,,12,
month_june,junio,,12,
month_march,marzo,,12,
month_may,mayo,,12,
month_november,noviembre,,12,
month_october,octubre,,12,
month_september,septiembre,,12,
mp_options,Opciones de multijugador,,32,
network_error,Error de red,,24,
preview_skip,Saltar <icon=L>/<icon=R>,,12,
preview_watch,Observa y escucha,,20,
prompt_1lane,<icon=thumbstick>,,4,
prompt_1lane_left,<icon=thumb_left>,,4,
prompt_1lane_right,<icon=thumb_left>,,4,
prompt_2lanes,[BUG THIS],,,
prompt_2lanes_left,<icon=thumb_left>,,4,
prompt_balloonfill,¡Llénalo!,,20,
prompt_chargehit,Mantén pulsado <icon=swingbutton>.,,34,Do not translate text between < >
prompt_clickhit,<icon=swingbutton>,,34,
prompt_fastgoldie,¡Cuidado! ,,34,
prompt_g_hitleft,<icon=thumb_left><icon=swingbutton>,,34,
prompt_g_hitright,<icon=thumb_right><icon=swingbutton>,,34,
prompt_g_hitstraight,<icon=thumb_forward><icon=swingbutton>,,34,
prompt_lobs,¡Que vienen!,,34,
prompt_lowballs,Te quedan pocas pelotas.,,34,
prompt_swinghit,¡Balancea!,,34,
prompt_swingorclick,<icon=swingbutton>,,34,
prompt_swipe,Swipe[BUG THIS],,,
prompt_swipeortap,Swipe or Tap[BUG THIS],,,
prompt_tap,Tap[BUG THIS],,,
results_bronze3,¡Bien!,,34,
results_celebrate,<icon=button> ¡Celebra!,,24,Do not translate text between < >
results_certif,Certificado de participación,,30,
results_profilename,%s,,24,
results_total,Total,,24,
results_misses,Fallos,,24,
results_hits,Golpes,,24,
results_early_late_label,Pronto / Tarde,,24,
results_gear_equip_help,Puedes equiparte con este objeto cuando quieras en el menú Elegir nivel.,,150,
results_gear_equip_no,Equipar luego,,24,
results_gear_equip_yes,Equipar ahora,,24,
results_gear_unlocked_title,¡Has conseguido objetos!,,32,
results_high_score_label,Récord,,24,
results_main_menu,Elegir nivel,,24,
results_msg_bronze1,¡Lo haces muy bien!,,34,
results_msg_bronze2,¡Buen trabajo!,,34,
results_msg_bronze3,¡No está mal!,,34,
results_msg_gold1,¡Hala!,,34,
results_msg_gold2,¡Impresionante!,,34,
results_msg_gold3,¡De campeonato!,,34,
results_msg_particip1,¡Gracias por jugar!,,34,
results_msg_particip2,¡Qué divertido!,,34,
results_msg_particip3,¡Tú puedes!,,34,
results_msg_particip4,¡No ha estado mal!,,34,
results_msg_plat1,¡Lil presidenta!,,34,
results_msg_plat2,¡Que empiece la fiesta!,,34,
results_msg_plat3,¡Bien!,,34,
results_msg_plat4,¡¡¡GOOOOOOOOL!!!,,34,
results_msg_silv1,¡Qué pasada!,,34,
results_msg_silv2,¡Bien jugado!,,34,
results_msg_silv3,¡Así se hace!,,34,
results_msg_squash,¡Campeones de pelotamiga!,,34,
results_newbest,Nuevo récord,,24,
results_nextunlock,Siguiente premio,,24,
results_next_level,Siguiente nivel,,24,
results_particip,Certificado de participación,,24,
results_perfect_label,Perfecto,,24,
results_perfect_label_with_star,<icon=star> Perfecto,,24,Do not translate text between < >
results_play_again,Otra vez,,24,
results_score_label,Puntuación,,24,
results_streak_label,Mejor racha,,24,
results_s_replay,Reintentar,X,24,
round,Ronda,,24,
rr_pizza_mssg,¡PIZZA!,,20,
rr_sax_mssg,¡A POR EL CORAZÓN!,,20,
rr_hot_potato_mssg,¡CUIDADO!,,20,
save_failed_message,No se ha podido guardar el progreso.,,150,
shell_avsync,Sinc. audio/vídeo,,32,
shell_avsync_prompt,"Es la primera vez que juegas, así que vamos a configurar Super Beat Sports en tu consola.",,150,
shell_avsync_reminder,"Si en algún momento te parece que la imagen y la música no están sincronizadas, ve a la pantalla Sinc. audio/vídeo para solucionarlo.",,150,
shell_baseball,Bate extravagante,,32,
shell_buddyball,Pelotamiga,,32,
shell_calibration_message,¿Lo que ves no está sincronizado con lo que oyes? Ve al menú Opciones y selecciona Sinc. audio/vídeo para modificar los ajustes.,,150,
shell_comingsoon,Próximamente,,24,
shell_confirm_delete_profile,¿Quieres borrar estos datos de manera permanente?,,50,
shell_confirm_no,No,,24,
shell_confirm_okay,Vale,,24,
shell_confirm_yes,Sí,,24,
shell_connected_players,Jugadores conectados:,,24,
shell_continue,Continuar,,24,
shell_controller,<icon=button> Cambiar mandos,,30,Do not translate text between < >
shell_controller_hold_grip,<icon=button> [Mantener] Cambiar soporte,,30,Do not translate text between < >
shell_controller_pause,Cambiar mandos,,30,
shell_controls,Contr. bate extravagante,,24,
shell_credits,Créditos,,32,
shell_disconnect_continue,Continuar con %d jugadores,,150,Do not translate %d
shell_disconnect_title,Desconectado,,24,
shell_press_L_R,Pulsa <icon=swingbutton>,,32,Do not translate text between < >
shell_eula,CLUF,,4,This stands for End User License Agreement
shell_eula_long,Contrato de licencia del usuario final: http://www.superbeatsports.com/superEULA,,,Do not translate web address
shell_gear,Mi bateador,,32,
shell_gear_bat,Bate,,16,
shell_gear_outfit,Conjunto,,16,
shell_gear_outfit_color,Color,,32,
shell_gear_save,Aplicar,,32,
shell_gear_unsaved_changes,Has realizado cambios en tu bateador que no se han guardado. ¿Quieres continuar sin guardar?,,150,
shell_golf,Golf glotón,,32,
shell_how_to_play,Instrucciones,,24,
shell_inputlag_fail,Parece que tenemos que volver a intentarlo. ¿Todo listo?,,150,
shell_inputlag_prompt,<style=action>Pulsa</style> <icon=swingbutton> cada vez que la pelota impacte.,,150,Do not translate text between < >
shell_inputlag_success,"Genial, ¡ya tienes todo listo para jugar!",,150,
shell_joy_con_grip,<icon=joy_con_solo> Cambiar soporte,,32,Do not translate text between < >
shell_joy_con_grip_disabled,Cambiar soporte,,32,
shell_leaderboards,Clasificación,,,
shell_legal,Legal,,32,
shell_level_select,Elegir nivel,,32,
level_label_normal,Normal,,32,
level_label_standard,Normal,,,
level_label_pro,Profesional,,32,
shell_loading,Cargando...,,24,
shell_love_prompt,Ve al menú <style=name>Mi bateador</style> para ver los nuevos objetos.,,,Do not translate text between < >
shell_main_menu,Menú principal,,32,
shell_menu_back,<icon=arrow><icon=button>,,32,
shell_menu_settings,Opciones,,32,
shell_menu_title,Pantalla de título,,32,
shell_motion_off,Movimiento: Sí,,24,
shell_motion_on,Movimiento: No,,24,
shell_motion_swing,<icon=button> Alternar mov. balanceo,,24,Do not translate text between < >
