token,value,,character limit, comment
app_connection_assigned,Couleur assignée,,25,
app_connection_assigning,Assignation de couleur,,25,
app_connection_connected,Connecté,,25,
app_connection_disconnected,Déconnecté,,25,
app_connection_disconnect_pending,Déconnexion en cours,,25,
app_connection_error_busy,Partie en cours,,25,
app_connection_searching,Recherche...,,25,
app_disconnect_bonjour_failed,Échec de la connexion,,25,
app_disconnect_busy,Partie en cours,,25,
app_disconnect_host_timeout,Connexion perdue,,25,
app_disconnect_user_disconnect,Utilisateur déconnecté,,25,
app_general_connect,Connexion,,25,
beatsports_legal_text,©2017 Harmonix Games LLC. Beat Sports est une marque déposée de Harmonix Games LLC. Toutes les autres marques appartiennent à leurs propriétaires respectifs. Ce produit est sous la protection d'un brevet consultable à www.harmonixmusic.com/patents.,,130,
bonus,Bonus,,14,
bonus_balls,Balle(s) bonus,,14,
bonus_round,Tour bonus,,14,
date_format,%d %M %Y,,11,
demo_intro_splash,This version of Beat Sports has been created specifically for demonstration purposes.,,150,
demo_locked_level,Only "Home" levels are playable in this demo.  Purchase Beat Sports to play all the levels and features.,,150,
demo_not_enabled,Feature not enabled for this demo.,,150,
dialogue_dl_error,Une erreur est survenue lors du téléchargement de contenu additionnel. Veuillez réessayer plus tard.,,150,
dialogue_dl_wait,Veuillez patienter pendant que nous téléchargeons le contenu additionnel.,,150,
feedback_perfect,PARFAIT,,20,
gear_bat_baseball_bat_special,Batte de platine,,21,a platinum baseball bat
gear_bat_bow,Arc de l'amour,,21,a cupid's bow
gear_bat_bronze,Batte de bronze,,21,a bronze baseball bat
gear_bat_chicken_drumstick,Pilon,,21,a drum stick
gear_bat_clarinet,Favori d'Eran,,21,a clarinet
gear_bat_curling,Rock 'n' Curling,,21,a curling (sport) stick
gear_bat_default,Batte,,21,a bat
gear_bat_electric_guitar,La hache,,21,a guitar
gear_bat_fish,Frappe-à-thon,,21,a bass fish pun on bass guitar
gear_bat_flowers,Pouvoir des fleurs,,21,a bouquet of flowers
gear_bat_gold,Or massif,,21,a gold bat
gear_bat_golf_club,Club-heurt,,21,a golf club 
gear_bat_hand_on_stick,Tape-m'en cinq,,21,a giant hand on a stick
gear_bat_harp,Cordes du cœur,,21,a Cupid's harp
gear_bat_hockey_stick,Le gifleur,,21,a hockey stick
gear_bat_ice,Remix d'hiver,,21,a bat made of ice
gear_bat_lips,Première base,,21,lips on a stick
gear_bat_lollipop,Bonbon vertical,,21,a lollipop
gear_bat_shovel,Puissance de la pelle,,21,a shovel
gear_bat_skipole,Batte diamant,,21,a diamond bat
gear_bat_sleigh,Grelots d'hiver,,21,a stick of jingle bells
gear_bat_snow_shov,Pelle à neige,,21,a snow shovel (snow plow pun)
gear_bat_sword,En garde,,21,a sword
gear_bat_tennis_racket,Art-tennis,,21,a tennis racket
gear_bat_umbrella,À la douche,,21,an umbrella
gear_bat_energy,Tapette laser,,21,a lazer racket like a bug zapper
gear_bat_baguette,Batte baguette,,21,a baguette
gear_bat_horsey,Oui ou non,,21,a hobby horse
gear_bat_gnome,Frank,,21,generic man's name
gear_bat_axe,L'autre hache,,21,an actual axe
gear_bat_broom,Balai brosse,,21,a broom
gear_bat_lax,Batte lacrosse,,21,a lacrosse stick
gear_bat_stick,Batte de stickball,,21,a stick for stick ball
gear_bat_cricket,Batte de cricket,,21,a cricket mallet
gear_bat_mallet,Maillet,,21,a mallet for whacking things
gear_bat_mime,Batte de mime,,21,an invisible mime bat
gear_outfit_baseball,Tenue de baseball,,21,a vintage baseball outfit
gear_outfit_cupid,Cupidon,,21,a cupid's outfit
gear_outfit_default,Classique,,21,a generic workout outfit
gear_outfit_football,L'amour toujours,,21,a football outfit
gear_outfit_golf,Membre Country Club,,21,a golfer outfit
gear_outfit_nibbs,Grande bouche,,21,an alien jumpsuit
gear_outfit_nubz,Fringues de Nubz,,21,a different alien jumpsuit
gear_outfit_rain,Quand ça mouille,,21,a rain or snowsuit
gear_outfit_soccer,Ballon d'or,,21,a soccer outfit
gear_outfit_space,Tête en l'air,,21,an astronaut suit
gear_outfit_squibbs,Style Squibz,,21,yet another alien outfit
gear_outfit_volleyball,As,,21,a volleyball outfit
gear_outfit_chicken,Star du poulet,,21,a chicken outfit
gear_outfit_jockey,Équitation,,21,a jockey outfit
gear_outfit_lucha,Mucho Macho,,21,a luchador outfit
gear_outfit_robo,Prochaine génération,,21,a robot outfit
gear_outfit_hockey,T'es hockey,,21,a hockey outfit
gear_outfit_dropmix,DROPMIX,,21,"A Harmonix IP, do not transalte"
gear_outfit_knight,Chevalier total,,21,a knight outfit
gear_outfit_mime,Mime de rien,,21,a mime outfit
gear_skin,Peau,,15,
golf_results_title_win,Super swing !,,34,
golf_ui_go,ALLEZ !,,20,
golf_ui_lastchance,DERNIÈRE CHANCE !,,20,
golf_ui_listen,Écoutez... ,,20,
golf_ui_outofballs,Plus de balles... ,,20,
golf_ui_timesup,TEMPS ÉCOULÉ !,,20,
results_normal_hits,Normal,,20,
results_charged_hits,Tirs sautés,,20,
kabam,Ka-BOUM !!,,20,
keep_local,Sauvegarde (locale),,23,
leaderboard_allsports,Tous les sports,,,
leaderboard_point,point,,,
leaderboard_points,points,,,
legal_preamble,"Acheter, télécharger, jouer, et/ou utiliser Super Beat Sports de quelque façon que ce soit constitue votre acceptation et votre accord à respecter les points suivants :",,,
legal_privacy_policy,Politique de confidentialité - http://www.superbeatsports.com/superprivacy,,,Do not translate web address
legal_tos,Conditions d'utilisation - http://www.superbeatsports.com/superterms,,,Do not translate web address
loading_321,"Attendez le décompte « 3, 2, 1 ! » pour vos frappes.",,150,
loading_all_1,"ASTUCE : respirez profondément, croyez en vous et ne faites qu'un avec le rythme.",,150,
loading_all_2,Obtenez de meilleures médailles pour débloquer des prix plus rapidement.,,150,
loading_all_3,Mettez le jeu en pause pour vérifier les contrôles.,,150,
loading_all_4,Le jeu vous paraît un peu lent ? Vérifiez si votre téléviseur n'aurait pas un mode « jeu vidéo » par hasard. Ça coûte rien.,,150,
loading_all_5,« Vous allez y aller et vous serez le meilleur dans tous les sports ! » \n- Affirmation du jour de Wubwub,,150,
loading_all_6,C'est très important pour Wubwub de pouvoir jouer avec vous.,,150,
loading_all_7,« Nubz ? Nubz ! Nubz nubz. » - Nubz,,150,
