token,value,,character limit, comment
app_connection_assigned,Colore assegnato,,25,
app_connection_assigning,Assegnazione colore...,,25,
app_connection_connected,Connesso,,25,
app_connection_disconnected,Disconnesso,,25,
app_connection_disconnect_pending,Disconnessione sospesa,,25,
app_connection_error_busy,Partita in corso,,25,
app_connection_searching,Ricerca in corso...,,25,
app_disconnect_bonjour_failed,Connessione fallita,,25,
app_disconnect_busy,Partita in corso,,25,
app_disconnect_host_timeout,Connessione persa,,25,
app_disconnect_user_disconnect,Utente disconnesso,,25,
app_general_connect,Connettiti,,25,
beatsports_legal_text,©2017 Harmonix Games LLC. Beat Sports è un marchio registrato di Harmonix Games LLC. Tutti gli altri marchi registrati sono di proprietà dei loro legittimi proprietari. Questo prodotto è coperto da brevetti consultabili su www.harmonixmusic.com/patents.,,130,
bonus,Bonus,,14,
bonus_balls,Palle bonus,,14,
bonus_round,Round bonus,,14,
date_format,%d %M %Y,,11,
demo_intro_splash,This version of Beat Sports has been created specifically for demonstration purposes.,,150,
demo_locked_level,Only "Home" levels are playable in this demo.  Purchase Beat Sports to play all the levels and features.,,150,
demo_not_enabled,Feature not enabled for this demo.,,150,
dialogue_dl_error,Si è verificato un errore durante il download del contenuto di gioco aggiuntivo. Riprova più tardi.,,150,
dialogue_dl_wait,Attendi mentre scarichiamo i contenuti di gioco aggiuntivi.,,150,
feedback_perfect,PERFETTO,,20,
gear_bat_baseball_bat_special,Platinata,,21,a platinum baseball bat
gear_bat_bow,Arco di Cupido,,21,a cupid's bow
gear_bat_bronze,Bronzea,,21,a bronze baseball bat
gear_bat_chicken_drumstick,Coscia di pollo,,21,a drum stick
gear_bat_clarinet,Clarinetto di Eran,,21,a clarinet
gear_bat_curling,Curling,,21,a curling (sport) stick
gear_bat_default,Mazza,,21,a bat
gear_bat_electric_guitar,Ascia,,21,a guitar
gear_bat_fish,Pesce mazza,,21,a bass fish pun on bass guitar
gear_bat_flowers,Potere dei fiori,,21,a bouquet of flowers
gear_bat_gold,Dorata,,21,a gold bat
gear_bat_golf_club,Golf,,21,a golf club 
gear_bat_hand_on_stick,Dammi il cinque,,21,a giant hand on a stick
gear_bat_harp,Corde del cuore,,21,a Cupid's harp
gear_bat_hockey_stick,Hockey,,21,a hockey stick
gear_bat_ice,Ghiacciolo,,21,a bat made of ice
gear_bat_lips,Bacino,,21,lips on a stick
gear_bat_lollipop,Lecca-lecca,,21,a lollipop
gear_bat_shovel,Pala potente,,21,a shovel
gear_bat_skipole,Diamantata,,21,a diamond bat
gear_bat_sleigh,Campanellini,,21,a stick of jingle bells
gear_bat_snow_shov,Spazzaneve,,21,a snow shovel (snow plow pun)
gear_bat_sword,Lama tagliente,,21,a sword
gear_bat_tennis_racket,Racchettona,,21,a tennis racket
gear_bat_umbrella,Parapioggia,,21,an umbrella
gear_bat_energy,Racchetta laser,,21,a lazer racket like a bug zapper
gear_bat_baguette,Baguette,,21,a baguette
gear_bat_horsey,Cavallo a dondolo,,21,a hobby horse
gear_bat_gnome,Frank,,21,generic man's name
gear_bat_axe,Accetta,,21,an actual axe
gear_bat_broom,Scopa,,21,a broom
gear_bat_lax,Lacrosse,,21,a lacrosse stick
gear_bat_stick,Bastone,,21,a stick for stick ball
gear_bat_cricket,Cricket,,21,a cricket mallet
gear_bat_mallet,Maglio,,21,a mallet for whacking things
gear_bat_mime,Mazza del mimo,,21,an invisible mime bat
gear_outfit_baseball,Fuoriclasse,,21,a vintage baseball outfit
gear_outfit_cupid,Cupido,,21,a cupid's outfit
gear_outfit_default,Classico,,21,a generic workout outfit
gear_outfit_football,Rubacuori,,21,a football outfit
gear_outfit_golf,Country Club,,21,a golfer outfit
gear_outfit_nibbs,Boccaccia,,21,an alien jumpsuit
gear_outfit_nubz,Tuta da Nubz,,21,a different alien jumpsuit
