token,value,,character limit, comment
app_connection_assigned,カラーを適用しました,,25,
app_connection_assigning,カラー適用中…,,25,
app_connection_connected,接続済,,25,
app_connection_disconnected,切断されました,,25,
app_connection_disconnect_pending,接続切断ペンディング,,25,
app_connection_error_busy,ゲームは現在進行中です,,25,
app_connection_searching,検索中...,,25,
app_disconnect_bonjour_failed,接続失敗,,25,
app_disconnect_busy,ゲームは現在進行中です,,25,
app_disconnect_host_timeout,接続が失われました,,25,
app_disconnect_user_disconnect,ユーザーが切断されました,,25,
app_general_connect,接続,,25,
beatsports_legal_text,©2017 Harmonix Games LLC. Beat SportsはHarmonix Games LLC.の商標。マークの権利は所有者にあり商品は特許権の保護対象です。www.harmonixmusic.com/patents.,,130,
bonus,ボーナス,,14,
bonus_balls,ボーナスボール,,14,
bonus_round,ボーナスラウンド,,14,
date_format,%M %d、%Y,,11,
demo_intro_splash,This version of Beat Sports has been created specifically for demonstration purposes.,,150,
demo_locked_level,Only "Home" levels are playable in this demo.  Purchase Beat Sports to play all the levels and features.,,150,
demo_not_enabled,Feature not enabled for this demo.,,150,
dialogue_dl_error,追加のゲームコンテンツをダウンロード中にエラーが発生しました。 後でもう一度お試しください。,,150,
dialogue_dl_wait,追加のゲームコンテンツをダウンロードしています。お待ちください。,,150,
feedback_perfect,パーフェクト,,20,
gear_bat_baseball_bat_special,ゴープラチナ,,21,a platinum baseball bat
gear_bat_bow,ラブオール,,21,a cupid's bow
gear_bat_bronze,ブロンズヒッター,,21,a bronze baseball bat
gear_bat_chicken_drumstick,ドラムスティック,,21,a drum stick
gear_bat_clarinet,Eranのお気に入り,,21,a clarinet
gear_bat_curling,ロック・ザ・ハウス,,21,a curling (sport) stick
gear_bat_default,バット,,21,a bat
gear_bat_electric_guitar,オノ,,21,a guitar
gear_bat_fish,スラップベース,,21,a bass fish pun on bass guitar
gear_bat_flowers,フラワーカパワー,,21,a bouquet of flowers
gear_bat_gold,ソリッドゴールド,,21,a gold bat
gear_bat_golf_club,インダクラブ,,21,a golf club 
gear_bat_hand_on_stick,パースティック,,21,a giant hand on a stick
gear_bat_harp,ハートストリング,,21,a Cupid's harp
gear_bat_hockey_stick,ヒットスティック,,21,a hockey stick
gear_bat_ice,ウィンターリミックス,,21,a bat made of ice
gear_bat_lips,ファーストベース,,21,lips on a stick
gear_bat_lollipop,フライポップ,,21,a lollipop
gear_bat_shovel,パワーショベル,,21,a shovel
gear_bat_skipole,ワッキーバット,,21,a diamond bat
gear_bat_sleigh,ジングラー,,21,a stick of jingle bells
gear_bat_snow_shov,雪やゴンゴン！,,21,a snow shovel (snow plow pun)
gear_bat_sword,ディープカット,,21,a sword
gear_bat_tennis_racket,スーパーラケット,,21,a tennis racket
gear_bat_umbrella,シャワータイム,,21,an umbrella
gear_bat_energy,ワッパーザッパー,,21,a lazer racket like a bug zapper
gear_bat_baguette,メイウィー,,21,a baguette
gear_bat_horsey,イエス・オア・ノー,,21,a hobby horse
gear_bat_gnome,フランク,,21,generic man's name
gear_bat_axe,もうひとつのオノ,,21,an actual axe
gear_bat_broom,スウィーパーヒット,,21,a broom
gear_bat_lax,ネットバット,,21,a lacrosse stick
gear_bat_stick,スティックラー,,21,a stick for stick ball
gear_bat_cricket,チャープ,,21,a cricket mallet
gear_bat_mallet,ハイノートストライカー,,21,a mallet for whacking things
gear_bat_mime,マイムバット,,21,an invisible mime bat
gear_outfit_baseball,クラックジャック,,21,a vintage baseball outfit
